include,acct,fy,bill,appropriations,agency,administration,suboffice,suboffice_appr,program,program_appr,reference,suboffice_url,notes,summary,mitigation,adaptation,science,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment
Y,089-0319-0-1-999-0402,2021,Energy & Water,Y,DOE ,Nuclear,Versatile Test Reactor Project ,45000,"21-E-200, Versatile Test Reactor ",2000,FY22 Budget Request Volume 3 Part 2 Page 95,https://www.energy.gov/ne/versatile-test-reactor,"This budget line, Versatile Test Reactor – Design and Construction (VTRDC), will be used to fund VTR costs that are not included in the Versatile Test Reactor – Other Project Costs, such as all engineering design costs (preliminary and final design), facility construction costs, and other costs specifically related to those construction and the procurement of VTR components and hardware. The fast neutron testing capability provided through the VTR project will help the United States (U.S.) meet its goal for advanced nuclear reactor technology development. The VTR project will provide leading edge capability for accelerated testing of advanced nuclear fuels, materials, instrumentation, and sensors. It will allow DOE to modernize its nuclear energy infrastructure, and conduct advanced technology and materials testing within the U.S. in a safe, efficient and timely way.VTR will also include funding of project and construction management during preliminary and final design and construction, and funds to provide for contingency and economic escalation. Specific activities to be accomplished in FY 2022 are in the Activities and Explanation of Changes section.","This funding supports engineering design costs (preliminary and final design), facility construction costs, and other costs specifically related to those construction and the procurement of the  Versatile  Test Reactor Project's. components and hardware.",2000,,,2000,,,,,,,2000,,,,,,,,2000,
Y,089-0213-0-1-271-0002,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Capture",86300,Post-Combustion Capture Systems,73300,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 193, 212, 214",https://www.energy.gov/fecm/office-carbon-management-technologies,"Post-combustion capture refers to the removal of the CO2 after the fuel is combusted. In FY21 this program funded small scale and bench scale carbon capture testing on actual flue gases from coal and natural gas, implemented congressional direction on industrial capture RDD&D and FEED studies, funded and operated the NCCC post combustion carbon capture test facility and conducted plant design and component testing. Included in decarbonizing industry crosscut.",The Post-Combustion Capture Systems research area tests components and plant design for carbon capture systems which remove CO2 after fuel is combusted.,73300,,,36650,,36650,,,,,,,,73300,,,,36650,36650,
Y,089-0213-0-1-271-0002,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Capture",86300,Pre-Combustion Capture Systems,10000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 193, 212, 214",https://www.energy.gov/fecm/office-carbon-management-technologies,"Pre-combustion capture refers to removal of the CO2 from the syngas (or other high-pressure streams) prior to its combustion for power production, separation of CO2 to produce hydrogen, or other products. DOE’s pre-combustion carbon capture program is focused on pursuing transformational capture goals which require capture greater than 95%. Technologies for pre-combustion capture complement research that is ongoing in creating new fundamental knowledge for hydrogen production and other industrial processes. In FY21 this program funded lab/bench scale transformational carbon capture and conducted 21st century power plant design and component testing.",The Pre-Combustion Capture Systems research area focuses on removing more than 95% of CO2 from syngas prior to its combustion for power production or separating CO2 to produce hydrogen or other products.,10000,,,5000,,5000,,,,,,,5000,5000,,,,3333,3333,3333
Y,089-0213-0-1-271-0002,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Capture",86300,Emissions Control,3000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 193, 212, 215",https://www.energy.gov/fecm/office-carbon-management-technologies,"This program focuses on reducing the costs and emissions of non-CO2 pollutants associated with the use, and combustion of carbon-containing fuels. This effort would conduct systems analyses and technical assessments to identify and address issues associated with non-CO2 emissions from power plants as well as industrial applications (i.e., trace and heavy metal emissions in solid, liquid, and gaseous effluents that are potential areas of concern). Additional broad research objectives include technologies to reduce environmental legacy issues such as ash storage facilities. In FY21, this program conducted systems analyses and technical assessments to identify and address non-CO2 emissions from coal-fired power plants.","The Emissions Control program focuses on reducing the costs and emissions of non-CO2 pollutants associated with the use, and combustion of carbon-containing fuels from power plants as well as industrial applications. ",3000,,,1500,,1500,,,,,,,,,3000,,,3000,,
Y,089-0213-0-1-271-0006,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Utilization",446800,Carbon Use and Reuse,23000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 184, 220, 222",https://www.energy.gov/fecm/office-carbon-management-technologies,"The Carbon Utilization program focuses on novel approaches to recycle carbon oxide (CO) emissions, principally CO2, into value-added products. Potential feedstocks include flue gas from power generation, industrial point sources, captured/concentrated CO2, mixed gas streams, or the atmosphere. These carbon sources are then converted through a bio-mediated, catalytic, mineralization, or hybrid pathway. Some processes are already commercially available while others are in the very early stages of RDD&D. In FY21, this program funded laboratory and bench-scale technologies to convert carbon oxides into valuable products such as chemicals, fuels, and building products and supported the development of at least one integrated CO2 utilization system.","The Carbon Utilization program focuses on novel approaches to recycle carbon oxide (CO) emissions, principally CO2, into value-added products such as chemicals, fuels, and building products.",23000,,,11500,,11500,,,,,,,,23000,,,,7667,7667,7667
Y,089-0213-0-1-271-0003,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Storage",79000,Storage Infrastructure,57500,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 184, 216-18",https://www.energy.gov/fecm/office-carbon-management-technologies,"The Storage Infrastructure sub-activity focuses on broadening the availability of certified resources for geologic storage of CO2 by deploying field projects that advance characterization and certification of storage complexes in regions where there is known storage capacity and regions where the storage resource potential is more prospective. Through this sub-activity the storage program also coordinates with FE’s Capture Program to help promote the integration of capture/storage projects. In FY21, this program supported Phase III of the Carbon Storage Assurance Facility Enterprise (CarbonSAFE) initiative and the Regional Carbon Capture, Utilization and Storage (CCUS) Deployment Initiative projects and performed  infrastructure network studies and analyses for carbon dioxide (CO2) source and enhanced oil recovery (EOR)/storage matching, and early-stage RDD&D for high priority activities.",The Storage Infrastructure program focuses on broadening the availability of certified resources for geologic CO2 storage by deploying field projects that advance characterization and certification of storage complexes in regions where there is known storage capacity and regions where the storage resource potential is more prospective.,57500,,,11500,11500,11500,11500,11500,,,,,,57500,,,,19167,19167,19167
Y,089-0213-0-1-271-0003,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Storage",79000,Advanced Storage RDD&D,15700,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 184, 217-18",https://www.energy.gov/fecm/office-carbon-management-technologies,"The Advanced Storage RDD&D sub-activity is focused on developing and validating CO2 storage technologies that improve capabilities in plume detection, storage efficiency, secure storage verification, subsurface stress assessments, and wellbore integrity monitoring and mitigation. In FY21, this program supported RDD&D to advance sensing 
and data telemetry capabilities, and high priority studies on fault/fracture networks characterization, stress state, fluid/pressure migration, and wellbore integrity monitoring that advance adaptive reservoir management capabilities and continued machine learning RDD&D to advance forecasting capabilities and improve real-time operational performance.","The Advanced Storage RDD&D program is focused on developing and validating CO2 storage technologies that improve capabilities in plume detection, storage efficiency, secure storage verification, subsurface stress assessments, and wellbore integrity monitoring and mitigation.",15700,,,3140,3140,3140,3140,3140,,,,,,15700,,,,5233,5233,5233
Y,089-0213-0-1-271-0003,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Carbon Storage",79000,Sub-disciplinary Storage RDD&D,5800,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 184, 219",https://www.energy.gov/fecm/office-carbon-management-technologies,"In FY21 this program supported the National Energy Technology Laboratory (NETL) and other National Laboratory funding for RDD&D activities on reservoir performance, applied monitoring, verification, accounting, and assessment technologies (MVAA), geomechanics, wellbore integrity, and risk assessment. Formerly Focus Area for Carbon Sequestration Science.","The Sub-disciplinary Storage RDD&D program supports RDD&D activities on reservoir performance, applied monitoring, verification, accounting, and assessment technologies (MVAA), geomechanics, wellbore integrity, and risk assessment.  ",5800,,,1160,1160,1160,1160,1160,,,,,,5800,,,,1933,1933,1933
Y,089-0213-0-1-271-0004,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Advanced Energy and Hydrogen Systems",108100,Gasification Systems,19000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 185, 195-6, 201",https://www.energy.gov/fecm/office-carbon-management-technologies,"This program focuses on the gasification of biomass and waste feedstocks with CCUS. In 2021 the Gasification Systems program funded research, development, demonstration and deployment (RDD&D) focusing on early-stage research of carbon-neutral or carbon-negative transformational technologies (e.g., chemical looping, topping cycles, magnetohydrodynamic (MHD), etc.) that will allow the coal-fired fleet to evolve and maintain a viable source of clean and secure energy. They also announced funding opportunity announcement (FOA) Enabling Gasification of Blended Coal, Biomass and Plastic Wastes to Produce Hydrogen with Potential for Net Negative Carbon Dioxide (CO2) Emissions.",The Gasification Systems program focuses on the gasification of biomass and waste feedstocks with CCUS.,19000,,,19000,,,,,,6333,,,6333,6333,,,,6333,6333,6333
Y,089-0213-0-1-271-0004,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Advanced Energy and Hydrogen Systems",108100,Advanced Turbines,27000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 195, 201",https://www.energy.gov/fecm/office-carbon-management-technologies,This program focuses on the development of combustion turbines firing hydrogen blends and 100% hydrogen fuel or zero carbon fuels such as ammonia. In 2021 the Advanced Turbines program funded hydrogen gas front-end engineering design (FEED) studies and Critical Components. They also announced University Turbine Systems Research (UTSR) FOA.,The advanced turbines program focuses on developing combustion turbines firing hydrogen blends and 100% hydrogen fuel or zero carbon fuels such as ammonia. ,27000,,,27000,,,,,,,,,27000,,,,,27000,,
Y,089-0213-0-1-271-0004,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Advanced Energy and Hydrogen Systems",108100,Reversible Solid Oxide Fuel Cells,30000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 195, 202",https://www.energy.gov/fecm/office-carbon-management-technologies,"This program focuses on the development of R-SOFCs that can produce power or hydrogen, depending on the market conditions. In 2021 the Reversible Oxide Fuel Cells program funded the National Energy Technology Laboratory (NETL) and other National Labs for Electrode engineering innovation, Systems analysis and announced an FOA on SOEC Technology Development for Hydrogen Production.",The Reversible Solid Oxide Fuel Cells program focuses on the development of R-SOFCs that can produce power or hydrogen. ,30000,,,30000,,,,,,,,,30000,,,,,30000,,
Y,089-0213-0-1-271-0004,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Advanced Energy and Hydrogen Systems",108100,Advanced Energy Materials,16100,"DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 187, 185, 195, 201-202",https://www.energy.gov/fecm/office-carbon-management-technologies,"This program focuses primarily on fossil power generation applications with an objective of improving the flexibility and reliability of those applications while enabling high efficiency, low-carbon performance. The program also seeks to enhance the nation’s supply chain for high-temperature materials to support a competitive U.S. industry base and create a skilled workforce. In 2021, the Advanced Energy Materials program funded ComTEST R&D and announced an FOA on nickel Alloy Cost & Cycling.","The Advanced Energy Materials program focuses on improving the flexibility and reliability of fossil power generation applications while enabling high efficiency, low-carbon performance and suppoerting a competitive U.S. industry base.",16100,,,8050,,8050,,,,16100,,,,,,,,16100,,
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,"Sensors, Controls, and Other Novel Concepts",8000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 205, 208",https://www.energy.gov/fecm/office-carbon-management-technologies,"This program provides funding for early stage RDD&D efforts on low-cost, reliable wired and wireless technologies to measure process temperature, pressure, and concentration of gas species. With additional investment by industry, these technologies could be capable of providing real-time information critical to operation, reliability, and efficiency. In 2021, the Sensors and Controls and other Novel Concepts program funded the development and deployment of wireless sensor systems and R&D on optical fiber sensors, applied diagnostics, and quantum sensing. ","The Sensors, Controls, and Other Novel Concepts program funds early stage RDD&D efforts on low-cost, reliable technologies to measure process temperature, pressure, and concentration of gas species to improve efficiency of industrial processes.",8000,,,4000,,4000,,,,8000,,,,,,,,2667,2667,2667
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,Water Management RDD&D,7500,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 205, 208",https://www.energy.gov/fecm/office-carbon-management-technologies,"The mission of the Water Management RDD&D portfolio is to advance sustainable and efficient water use in power generation; develop cost-competitive technology solutions; and enhance understanding of the life cycle relationship between energy and water resources. In 2021, the Water Management RDD&D program announced FOA for Water Management for Thermal Power Generation, tested at the Energy and Environmental Research Center (EERC) Brine Extractions and Storage Test (BEST) Site and funded the National Energy Technology Laboratory (NETL) and other National Labs for R&D on impacts of water demand and water availability for power generation, Carbon Capture, Utilization, and Storage (CCUS), and hydrogen production.",The Water Management RDD&D program advances sustainable and efficient water use in power generation; develops cost-competitive technology solutions; and enhances understanding of the life cycle relationship between energy and water resources.,7500,,,7500,,,,,,2500,,,2500,2500,,,,2500,2500,2500
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,Simulation Based Engineering,6200,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 206, 208",https://www.energy.gov/fecm/office-carbon-management-technologies,"The Simulation-Based Engineering (SBE) program includes computational software development, high performance computing, advanced optimization, techno-economic analysis, and artificial intelligence and ML. The SBE program helps accelerate the development and deployment of next-generation zero-emission fossil fuel technologies with significantly improved performance and low environmental impact. In 2021, the Simulation Based Engineering program supported the development of interactive visualization technology and data communication optimization methods to improve the design and operation of advanced power systems with carbon capture and sequestration and provided first principle and physics-based modeling of phenomenon for complex energy conversion and carbon capture processes.",The Simulation-Based Engineering program helps accelerate the development and deployment of zero-emission fossil fuel technologies through optimization methods for the design and operation of plants as well as through modeling of complex energy processes. ,6200,,,6200,,,,,,3100,,,,3100,,,,6200,,
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,Energy Analyses,500,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 206, 209",https://www.energy.gov/fecm/office-carbon-management-technologies,"This activity supports strategic planning by identifying major challenges and opportunities to improve efficiency, cost, and environmental performance to speed deployments of carbon management applications. In 2021, the Energy Analyses program suppored analysis efforts with potential economic, jobs, and environmental benefits and impacts from the deployment of carbon management and fossil technologies.","The Energy Analyses program indetifies major challenges and opportunities to improve efficiency, cost, and environmental performance to speed deployments of carbon management applications. ",500,,,100,100,100,100,100,,250,,,,250,,,,500,,
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,University Training and Research,5050,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 206, 209",https://www.energy.gov/fecm/office-carbon-management-technologies,"The UTR activity focuses on developing the next generation of scientists and engineers to strengthen the workforce. Such funding aims to sustain a national university program of research in energy and environmental science and engineering that focuses on innovative and fundamental investigations pertinent to advancing Administration goals. In 2021, the University Training and Research Program released a competitive funding announcement for U.S. academic institutions of higher learning to support fundmental research that cuts across FECM's research area focus. ",The University Training and Research program focuses on developing the next generation of scientists and engineers to strengthen the energy and environmental science and engineering workforce with a focus on innovative investigations. ,5050,,,1010,1010,1010,1010,1010,,631,631,631,631,631,631,631,631,5050,,
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,International Activities,650,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 207, 209",https://www.energy.gov/fecm/office-carbon-management-technologies,"International activities support the deployment of U.S. technologies and resources to international markets that are seeking CCUS technologies and advanced high efficiency power plants. In 2021, the International Activities program supported international efforts with various international partners in Europe, North America, Asia, and the Middle East through bilateral and multi-lateral agreements.",The International Activities program supports deploying U.S. technologies and resources to international markets seeking CCUS technologies and high efficiency power plants. ,650,,,650,,,,,,325,,,,325,,,,,,650
Y,089-0213-0-1-271-0005,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Crosscutting Research",32900,Energy Storage Grand Challenge,5000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 185, 207, 209",https://www.energy.gov/fecm/office-carbon-management-technologies,"The Energy Storage Grand Challenge (ESGC) activity takes a technology agnostic approach to energy storage with an emphasis on long-duration energy storage that is scalable from small applications to full-scale commercial power plants. To achieve this objective, the program focuses on the integration of long-duration energy storage technologies with a variety of fossil assets, including large-scale coal and gas power plants as well as smaller assets like single-cycle peaking gas turbines and microgrid applications. In 2021, the Energy Storage Grand Challenge focused R&D on DOE's efforts to take a broad, more holistic view of energy storage as a set of capabilities that enable temporal flexibility in the conversion of energy resources to useful energy services.",The Energy Storage Grand Challenge (ESGC) program focuses on long-duration energy storage that is scalable from small applications to full-scale commercial power plants.,5000,,,5000,,,,,,,2500,2500,,,,,,5000,,
Y,089-0213-0-1-271-0007,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems",446800,Carbon Dioxide Removal,40000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 182, 185, 226",https://www.energy.gov/fecm/office-carbon-management-technologies,"Supports carbon dioxide removal (CDR) by funding research in direct air capture (DAC), bioenergy with carbon capture and storage (BECCS), and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon. In FY21, this program supported continued development of transformational direct air capture (DAC) materials and structural components, and initial feasibility studies of current DAC systems. It also supported National Laboratory research, development, demonstration and deployment (RDD&D) to evaluate challenges and potential concepts for ex situ mineralization and enhanced weathering concepts and evaluated coal-biomass co-feeding concepts coupled with carbon capture, utilization, and storage (CCUS) at existing facilities.","The Carbon Dioxide Removal program funds research in direct air capture, bioenergy with carbon capture and storage, and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon. ",40000,,,40000,,,,,,,,,,20000,,20000,,13333,13333,13333
Y,089-0213-0-1-271-0009,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Mineral Sustainability",53000,Critical Minerals,23000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 231-34",https://www.energy.gov/fecm/minerals-sustainability,"The Critical Minerals subprogram focuses on the sustainable recovery of all CM, including REE throughout the upstream, midstream, and downstream supply chain by prioritizing the use of unconventional resources as the most environmentally sustainable primary feedstock resource for domestic production. In FY21, this program funded FEED studies for large-scale pilot projects to produe large quantities of high purity, commercial grade mixed REE and other CMs including individual separation and metallization and RDD&D to enable the carbon ore, rare earth, and critical mineral initiative to support over 13 basins across the U.S. They also announced an FOA for initiatives to produce REEs and CMs.","The Critical Minerals program focuses on the sustainable recovery of critical minerals throughout the upstream, midstream, and downstream supply chain by prioritizing the use of unconventional resources as the most environmentally sustainable primary feedstock resource for domestic production. ",23000,,,5750,5750,5750,,5750,,,,,,,23000,,,7667,7667,7667
Y,089-0213-0-1-271-0010,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems: Mineral Sustainability",53000,Carbon Ore Processing,30000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 187, 233-235",https://www.energy.gov/fecm/minerals-sustainability,"This Carbon Ore Processing activity (formally Advanced Coal Processing) is focused on utilizing materials to be recycled from previously mined resources outside of traditional thermal and metallurgical markets that can contribute to the U.S. gross domestic product. This activity is focused on developing transformational technologies to enable domestic manufacturing of strategic materials and superior building products from carbon ore at competitive market prices. These transformational technologies have minimal emissions, superior product performance, and better lifecycle for new and existing products in the market. In FY21, this program developed existing and new technologies to turn coal waste and refuse into synthetic graphite and graphene, supported RDD&D on carbon fiber production at Oak Ridge National Laboratory's Carbon Fiber Technology Facility and supported the development of next generation carbon-based building materials and infrastructure products with superior mechanical properties.",The Carbon Ore Processing program focuses on utilizing materials recycled from previously mined resources outside of traditional thermal and metallurgical markets that can contribute to U.S. GDP.,30000,,,,,,,30000,,,,,,30000,,,,10000,10000,10000
Y,089-0213-0-1-271-0030,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems",446800,Transformational Coal Pilots,10000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 182, 229",https://www.energy.gov/fecm/office-carbon-management-technologies,"Funding supports two large-scale pilots that focus on transformational coal technologies representing a new way to convert energy enabling a step change in performance, efficiency, and the cost of electricity compared to today’s technologies. Such technologies include thermodynamic improvements in energy conversion and heat transfer, such as pressurized oxygen combustion and chemical looping, and improvements in carbon capture systems technology. ",The Transformational Coal Pilots program funds two large-scale pilots that focus on transformational coal technologies with increased efficiency from thermodynamic improvements in energy conversion and heat transfer.,10000,,,10000,,,,,,5000,,,,5000,,,,,10000,
Y,089-0213-0-1-271-0022,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)","
Carbon Capture, Utilization and Storage and Power Systems",446800,Supercritical Transformational Electric Power (STEP),14500,DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 227-228,https://www.energy.gov/fecm/office-carbon-management-technologies,"The STEP program focuses on research, development, demonstration and deployment (RDD&D) to advance higher efficiency, lower cost technologies that use supercritical CO2 (sCO2) for power cycles. The program works toward the design, construction, start-up, shakedown, and operation of a 10 MWe pilot facility and supports initial testing to establish operability and performance of selected sCO2 cycles. This effort includes the design, development, and fabrication of all components in the cycle (i.e., turbomachinery, recuperators, heat source integration, etc.). During operation, the test facility will validate operability of a sCO2 Recompression Brayton Cycle at the 10 MWe test facility in San Antonio, Texas.","The Supercritical Transformational Electric Power (STEP) program focuses on RDD&D in higher efficiency, lower cost technologies that use supercritical CO2 to power cycles. ",14500,,,14500,,,,,,7250,,,,7250,,,,4833,4833,4833
Y,089-0213-0-1-271-0020,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)",Natural Gas Technologies,57001,Emissions Mitigation from Midstream Infrastructure,13500,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Page 236, 240, 242",https://www.energy.gov/fecm/regulation,"The Emissions Mitigation from Midstream Infrastructure subprogram is committed to developing advanced, cost- effective technologies to reduce emissions from natural gas transmission, distribution, and storage facilities. Priority areas for the subprogram include research in advanced materials for pipeline integrity, initiation of research on passive sensor platforms, data management and systems, tools that employ artificial intelligence, and more efficient and flexible compressors to adapt to varying pipeline conditions and additional fluids. In 2021 this program focused research on materials, coatings, and sensors to improve the reliability, safety, and reduce emissions from natural gas supply and delivery infrastructure and on new and innovative technologies aimed at converting flared and vented methane into value-added products.","The Emissions Mitigation from Midstream Infrastructure program develops advanced, cost-effective technologies to reduce emissions from natural gas transmission, distribution and storage facilities. ",13500,,,,,13500,,,,6750,,,,,6750,,,13500,,
Y,089-0213-0-1-271-0020,2021,Energy & Water,Y,DOE,"Fossil Energy and Carbon Management (FECM) Research, Development, Demonstration, and Deployment (RDD&D)",Natural Gas Technologies,57002,Emissions Quantification from Natural Gas Infrastructure,6500,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Page 236, 241-242",https://www.energy.gov/fecm/regulation,"The Emissions Quantification from Natural Gas Infrastructure subprogram will focus on developing advanced technologies to detect, locate, and measure emissions. This will include the development and validation of measurement sensor technologies for the collection, dissemination, and analysis of emissions data; data collection and support to EPA’s Greenhouse Gas Inventory; and data collection, analysis and support related to quantifying emissions from orphan wells. This work will inform future research efforts and priorities; will improve analytics, data collection and modeling; and that will inform mitigation and remediation efforts for natural gas pipelines, storage facilities, and abandoned or orphaned wells. 2021 spending went towards advanced methane detection and measurement technology validation.","The Emissions Quantification from Natural Gas Infrastructure program focuses on developing advanced technologies to detect, locate, and measure emissions to inform mitigation and remediation efforts for natural gas pipelines, storage facilites, and abandoned or orphaned wells.",6500,,,,,6500,,,,,,,,,6500,,,6500,,
Y,089-0342-0-1-271-0010,2021,Energy & Water,Y,DOE,Office of Indian Energy,Financial Assistance,15810,No Program/Research Area (Financial Assistance),15810,DOE FY22 Congressional Budget Justification Volume 3 Part 2 Pages 284-7,https://www.energy.gov/indianenergy/technical-assistance,"Financial assistance, primarily through competitive grants to Indian tribes, supports the deployment of energy infrastructure, efficiency and electrification projects, reducing energy costs, increasing reliability and resiliency, and building human capacity within and among tribes. In FY21 this sub-office implemented a competitive grant program supporting energy development and electrification in Indian Country, and associated support contracts.","The Financial Assistance program supports the deployment of energy infrastructure, efficiency projects, and electrification projects to reduce energy costs and increase the reliability and resiliency of energy among Indian tribes.",15810,X,,15810,,,,,,7905,,7905,,,,,,,,15810
Y,089-0342-0-1-271-0010,2021,Energy & Water,Y,DOE,Office of Indian Energy,Technical Assistance,1190,No Program/Research Area (Technical Assistance),1190,DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 284-7,https://www.energy.gov/indianenergy/technical-assistance,"In the area of technical assistance, IE is transitioning to become more effective and efficient using local Subject Matter Experts (SME’s) to assist Native American and Alaska Native communities in developing energy projects and providing support for energy planning. In Alaska, this is being implemented through an interagency agreement with the Denali Commission for local SME’s. In FY21 this sub-office disseminated information to Indian Country through in-person and on-line training, internships, regional/national workshops, webinars, and printed guides and materials, provided high-level support for electrification and energy development in Indian Country and focused on building partnerships and leveraging resources to maximize education, training and technical assistance.","The Technical Assistance program disseminates information and provides high-level support for electrification and energy development in Indian Country with a focus on building partnerships and leveraging resources to maximize education, training, and technical assistance. ",1190,X,,1190,,,,,,,,1190,,,,,,,,1190
